2022-10-05 17:14:01,198 INFO     Camera Started
2022-10-05 17:14:16,464 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,521 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,590 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,646 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,724 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,783 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,857 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,928 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,002 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,064 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,128 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,188 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,249 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,311 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,397 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,472 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,554 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:17,616 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:17,676 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:17,746 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:17,838 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:17,917 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:17,997 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:18,072 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:18,146 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,228 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,296 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,362 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,427 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,499 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,571 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,638 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,712 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,771 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,828 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,902 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:18,962 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,037 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,095 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,154 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,217 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,281 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,359 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,423 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,496 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,566 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,629 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
