Date,Time,Focus,Emotion,Head,Hand
2022-11-08,11:28:46:124,1,1,1,
2022-11-08,11:28:46:206,1,1,1,
2022-11-08,11:28:46:289,1,1,1,
2022-11-08,11:28:46:339,1,1,1,
2022-11-08,11:28:46:408,1,1,1,
2022-11-08,11:28:46:489,1,1,1,
2022-11-08,11:28:46:555,1,1,1,
2022-11-08,11:28:46:624,1,1,1,
2022-11-08,11:28:46:706,1,1,1,
2022-11-08,11:28:46:774,1,1,1,
2022-11-08,11:28:46:840,1,1,1,
2022-11-08,11:28:46:925,1,1,1,
2022-11-08,11:28:46:990,1,1,1,
2022-11-08,11:28:47:058,1,1,1,
2022-11-08,11:28:47:109,1,1,1,
2022-11-08,11:28:47:190,1,1,1,
2022-11-08,11:28:47:274,1,1,1,
2022-11-08,11:28:47:341,1,1,1,
2022-11-08,11:28:47:407,1,0,1,
2022-11-08,11:28:47:459,1,0,1,
2022-11-08,11:28:47:525,1,0,1,
2022-11-08,11:28:47:606,1,0,1,
2022-11-08,11:28:47:660,1,0,1,
2022-11-08,11:28:47:742,1,0,1,
2022-11-08,11:28:47:809,1,0,1,
2022-11-08,11:28:47:891,1,0,1,
2022-11-08,11:28:47:960,1,0,1,
2022-11-08,11:28:48:010,1,0,1,
2022-11-08,11:28:48:091,1,0,1,
2022-11-08,11:28:48:160,1,0,1,
2022-11-08,11:28:48:241,1,0,1,
2022-11-08,11:28:48:308,1,0,1,
2022-11-08,11:28:48:393,1,0,1,
2022-11-08,11:28:48:461,1,0,1,
2022-11-08,11:28:48:512,1,0,1,
2022-11-08,11:28:48:592,0,0,1,
2022-11-08,11:28:48:643,0,0,1,
2022-11-08,11:28:48:728,1,0,1,
2022-11-08,11:28:48:792,1,0,1,
2022-11-08,11:28:48:861,1,1,1,
2022-11-08,11:28:48:912,1,1,1,
2022-11-08,11:28:48:977,0,0,0,
2022-11-08,11:28:48:977,1,1,1,
2022-11-08,11:28:49:059,1,1,1,
2022-11-08,11:28:49:144,0,0,0,
2022-11-08,11:28:49:144,1,1,1,
2022-11-08,11:28:49:229,0,0,0,
2022-11-08,11:28:49:229,1,1,1,
2022-11-08,11:28:49:325,1,1,1,
2022-11-08,11:28:49:425,0,0,0,
2022-11-08,11:28:49:425,1,1,1,
2022-11-08,11:28:49:494,1,1,1,
2022-11-08,11:28:49:578,0,0,0,
2022-11-08,11:28:49:578,1,1,1,
2022-11-08,11:28:49:663,0,0,0,
2022-11-08,11:28:49:663,1,1,1,
2022-11-08,11:28:49:730,0,0,0,
2022-11-08,11:28:49:730,1,1,1,
2022-11-08,11:28:49:794,0,0,0,
2022-11-08,11:28:49:794,1,1,1,
2022-11-08,11:28:49:895,0,0,0,
2022-11-08,11:28:49:895,1,1,1,
2022-11-08,11:28:49:979,0,0,0,
2022-11-08,11:28:49:979,1,1,1,
2022-11-08,11:28:50:063,0,0,0,
2022-11-08,11:28:50:063,1,1,1,
2022-11-08,11:28:50:130,0,0,0,
2022-11-08,11:28:50:130,1,1,1,
2022-11-08,11:28:50:212,0,0,0,
2022-11-08,11:28:50:212,1,1,1,
2022-11-08,11:28:50:295,0,0,0,
2022-11-08,11:28:50:295,1,1,1,
2022-11-08,11:28:50:379,0,0,0,
2022-11-08,11:28:50:379,1,1,1,
2022-11-08,11:28:50:479,0,0,0,
2022-11-08,11:28:50:479,1,1,1,
2022-11-08,11:28:50:564,0,0,0,
2022-11-08,11:28:50:564,1,1,1,
2022-11-08,11:28:50:630,0,0,0,
2022-11-08,11:28:50:630,1,1,1,
2022-11-08,11:28:50:713,0,0,0,
2022-11-08,11:28:50:713,1,1,1,
2022-11-08,11:28:50:780,0,0,0,
2022-11-08,11:28:50:780,1,1,1,
2022-11-08,11:28:50:859,0,0,0,
2022-11-08,11:28:50:859,1,1,1,
2022-11-08,11:28:50:933,0,0,0,
2022-11-08,11:28:50:933,1,1,1,
2022-11-08,11:28:51:011,0,0,0,
2022-11-08,11:28:51:011,1,1,1,
2022-11-08,11:28:51:098,0,0,0,
2022-11-08,11:28:51:098,1,1,1,
2022-11-08,11:28:51:180,0,0,0,
2022-11-08,11:28:51:180,1,1,1,
2022-11-08,11:28:51:265,1,1,1,
2022-11-08,11:28:51:396,1,1,1,
2022-11-08,11:28:51:481,1,1,1,
2022-11-08,11:28:51:546,1,1,1,
2022-11-08,11:28:51:612,1,1,1,
2022-11-08,11:28:51:666,1,1,1,
2022-11-08,11:28:51:733,1,1,1,
2022-11-08,11:28:51:803,1,1,1,
2022-11-08,11:28:51:882,1,1,1,
2022-11-08,11:28:51:948,1,1,1,
2022-11-08,11:28:51:998,1,1,1,
2022-11-08,11:28:52:083,1,1,1,
2022-11-08,11:28:52:150,1,1,1,
2022-11-08,11:28:52:201,1,1,1,
2022-11-08,11:28:52:283,1,1,1,
2022-11-08,11:28:52:339,1,1,1,
2022-11-08,11:28:52:435,1,1,1,
2022-11-08,11:28:52:500,1,1,1,
2022-11-08,11:28:52:569,1,1,1,
2022-11-08,11:28:52:651,1,1,1,
2022-11-08,11:28:52:736,1,1,1,
2022-11-08,11:28:52:800,1,1,1,
2022-11-08,11:28:52:851,1,1,1,
2022-11-08,11:28:52:936,1,1,1,
2022-11-08,11:28:53:000,0,0,0,
2022-11-08,11:28:53:000,1,1,1,
2022-11-08,11:28:53:055,1,1,1,
2022-11-08,11:28:53:169,1,1,1,
2022-11-08,11:28:53:252,1,1,1,
2022-11-08,11:28:53:302,0,0,0,
2022-11-08,11:28:53:302,1,1,1,
2022-11-08,11:28:53:370,1,1,1,
2022-11-08,11:28:53:470,1,1,1,
2022-11-08,11:28:53:537,1,1,1,
2022-11-08,11:28:53:603,1,1,1,
2022-11-08,11:28:53:686,1,1,1,
2022-11-08,11:28:53:752,1,1,1,
2022-11-08,11:28:53:802,1,1,1,
2022-11-08,11:28:53:871,1,1,1,
2022-11-08,11:28:53:953,1,1,1,
2022-11-08,11:28:54:020,1,1,1,
2022-11-08,11:28:54:087,1,1,1,
2022-11-08,11:28:54:153,1,1,1,
2022-11-08,11:28:54:219,1,1,1,
